State,Year,Lint Yield (Pounds/Harvested Acre),average_rain_fall_mm_per_year,pesticides_tonnes
Albania,1990,36613,1485,121
Albania,1991,29068,1485,121
Albania,1992,24876,1485,121
Albania,1993,24185,1485,121
Albania,1994,25848,1485,201
Albania,1995,31300,1485,251
Albania,1996,32604,1485,313.96
Albania,1997,31862,1485,376.93
Albania,1998,33416,1485,439.89
Albania,1999,37455,1485,502.86
Albania,2000,38811,1485,565.82
Albania,2001,38135,1485,628.79
Albania,2002,39460,1485,691.75
Albania,2004,46197,1485,817.68
Albania,2005,45442,1485,880.64
Albania,2006,50111,1485,943.61
Albania,2007,46732,1485,1006.57
Albania,2008,50000,1485,1069.54
Albania,2009,55693,1485,1132.5
Albania,2010,66790,1485,1311.17
Albania,2011,59869,1485,1302.63
Albania,2012,67290,1485,766.25
Albania,2013,69533,1485,982.32
Algeria,1990,16500,89,1828.92
Algeria,1991,19231,89,2461.8
Algeria,1992,22828,89,1215.47
Algeria,1993,12500,89,1021.89
Algeria,1994,4512,89,1255.02
Algeria,1995,16115,89,2697.09
Algeria,1996,17154,89,479.77
Algeria,1997,21417,89,401.22
Algeria,1998,17222,89,322.84
Algeria,1999,22375,89,654.45
Algeria,2000,36186,89,603.67
Algeria,2001,27175,89,710.11
Algeria,2002,33480,89,816.55
Algeria,2004,31729,89,3747.86
Algeria,2005,33864,89,3662.87
Algeria,2006,65668,89,4110.72
Algeria,2007,85625,89,5390.79
Algeria,2008,44714,89,11556.12
Algeria,2009,30914,89,3867.99
Algeria,2010,25827,89,1295.88
Algeria,2011,23374,89,13861.76
Algeria,2012,25583,89,17379.76
Algeria,2013,33649,89,17278.65
Angola,1990,2736,1010,64
Angola,1991,4013,1010,79
Angola,1992,3778,1010,23
Angola,1993,2627,1010,169
Angola,1994,2463,1010,25.5
Angola,1995,3517,1010,336
Angola,1996,6993,1010,40
Angola,1997,5959,1010,40
Angola,1998,7396,1010,40
Angola,1999,6361,1010,40
Angola,2000,5745,1010,40
Angola,2001,5754,1010,40
Angola,2002,6706,1010,40
Angola,2004,5404,1010,40
Angola,2005,6736,1010,40
Angola,2006,4687,1010,40
Angola,2007,5091,1010,40
Angola,2008,7946,1010,40
Angola,2009,6614,1010,40
Angola,2010,7200,1010,40
Angola,2011,7376,1010,40
Angola,2012,7770,1010,40
Angola,2013,9467,1010,40
Argentina,1990,34608,591,26156
Argentina,1990,34608,591,26156
Argentina,1991,40444,591,26156
Argentina,1991,40444,591,26156
Argentina,1992,45237,591,26156
Argentina,1992,45237,591,26156
Argentina,1993,43552,591,26156
Argentina,1993,43552,591,26156
Argentina,1994,42371,591,30195
Argentina,1994,42371,591,30195
Argentina,1995,45223,591,37842
Argentina,1995,45223,591,37842
Argentina,1996,40397,591,54595
Argentina,1996,40397,591,54595
Argentina,1997,45557,591,77691
Argentina,1997,45557,591,77691
Argentina,1998,60780,591,62397
Argentina,1998,60780,591,62397
Argentina,1999,53702,591,62831.39
Argentina,1999,53702,591,62831.39
Argentina,2000,54329,591,63265.78
Argentina,2000,54329,591,63265.78
Argentina,2001,54553,591,63700.17
Argentina,2001,54553,591,63700.17
Argentina,2002,60791,591,64134.56
